id,total_men,total_women,total_pop,age_0_10,age_11_19,age_20_39,age_40_59,age_60_and_over,age1,age2,age3,age4,age5,illiteracy,illiteracy11_19,illiteracy20_39,illiteracy40_59,illiteracy_60,illiteracy_m,illiteracy_f,illiteracy_m_11_19,illiteracy_f_11_19,illiteracy_m_21_39,illiteracy_f_21_39,illiteracy_m_40_59,illiteracy_f_40_59,illiteracy_m_60,illiteracy_f_60,orthodox,protestant,rcatholic,muslim,otherrel,orthd,cthlc,evngl,muslm,othr_r,s_lang_srb_cro_svn,s_lang_othr_slavic,s_lang_hungarian,s_lang_german,s_lang_albanian,s_lang_other,t_employed_agriculture_perc,t_employed_agriculture_men_perc,t_employed_agriculture_women_perc,t_employed_industry_perc,t_employed_industry_men_perc,t_employed_industry_women_perc,t_employed_commerce_perc,t_employed_commerce_men_perc,t_employed_commerce_women_perc,t_employed_public_service_perc,t_employed_public_service_men_perc,t_employed_public_service_women_perc,t_employed_other_perc,t_employed_other_men_perc,t_employed_other_women_perc
122,14913,15299,30212,7969,4540,9040,5758,2905,26.4,15,29.9,19.1,9.6,24,13.92070485,15.85176991,29.73254602,53.87263339,17.6,30.2,13.5,14.3,12,19.6,17.8,40.8,41.3,65.8,55.3,0.2,43.6,0,0.90,16696,13168,74,1,273,55.80,0.24,25.23,18.11,0.000,0.62,18.85970451,19.18163138,18.08396125,3.447404975,3.788081837,2.626480086,16.95921202,19.02081658,11.99138859,11.44715242,11.01581345,12.48654467,18.2598813,12.90092022,31.17330463
123,30857,32025,62882,15908,8773,19486,12394,6321,25.3,14,31,19.7,10.1,22.6,14.04308674,15.49830648,27.77957076,46.57490903,15.2,29.6,12.8,15.4,10.2,20.6,15.8,38.6,34.5,56.8,48.4,8.6,41.8,0,1.15,30444,26275,5425,15,723,34.87,6.41,16.43,26.72,0.000,15.56,90.54962198,86.76159853,97.68206193,6.46825873,9.269637115,1.193565127,1.176047042,1.736334405,0.121086317,1.080043202,1.25861277,0.743815949,0.726029041,0.97381718,0.25947068
124,17396,17600,34996,11517,4431,11583,5433,2032,32.9,12.7,33.1,15.5,5.8,58.7,43.30850824,54.89942157,70.95527333,81.3976378,29.8,87,19.8,69,24.5,87.4,41.4,95,60.1,97.3,98.5,0,1.2,0.3,0.04,34469,410,15,88,14,97.27,0.44,0.25,0.15,0.014,1.87,88.56526996,85.78567036,94.57841344,6.350875348,8.656211562,1.363711957,2.2080858,2.790590406,0.947946117,2.218600494,2.367773678,1.895892233,0.657168393,0.399753998,1.214036255
125,19213,19503,38716,10204,4645,11843,7995,4029,26.4,12,30.6,20.7,10.4,29.8,20,21.91167778,35.18449031,53.61131794,20.6,38.6,17.6,22.5,14.7,29,21.9,47.6,40.1,65.8,61.2,5.5,32.2,0,1.01,23697,12480,2147,1,391,31.90,5.39,12.73,19.33,0.000,30.65,46.48326152,44.08295282,52.0008747,22.10142526,25.42808219,14.4544063,10.27510772,11.4630898,7.544281653,11.62744448,13.80327245,6.625847365,9.512761021,5.22260274,19.37458998
126,15008,15510,30518,7993,4603,9325,5721,2876,26.2,15.1,30.6,18.7,9.4,18.4,8.385835325,12.21447721,22.58346443,46.17524339,14.2,22.4,8,8.8,10.3,14,15.2,29.3,34.4,57.6,70.3,2.1,18.6,0,8.99,21467,5677,626,5,2743,70.70,8.01,15.65,5.09,0.013,0.54,82.46182948,79.17821782,89.51509996,10.63369815,13.78217822,3.870693322,3.134711525,3.663366337,1.999149298,2.675314147,2.772277228,2.467035304,1.094446696,0.603960396,2.148022118
127,17929,17529,35458,10856,4814,11554,5888,2346,30.6,13.6,32.6,16.6,6.6,20.5,10.11632738,14.98182448,27.42866848,51.36402387,16.2,24.9,9.9,10.3,11,19.3,21.3,33.3,43.6,59.1,78.2,16.1,4.7,0.1,0.88,27714,1679,5719,34,312,80.42,6.36,0.92,10.97,0.006,1.33,81.48148148,76.41164169,93.45544351,9.464340373,12.39107703,2.551965425,2.907866544,3.80794702,0.782053921,5.558616468,6.971070059,2.222679564,0.587695133,0.418264204,0.987857584
128,15044,15321,30365,8554,4570,9466,5221,2554,28.2,15.1,31.2,17.2,8.4,55.8,34.3107221,53.82421297,66.13675541,80.73610023,31.7,79.3,12.4,57.1,25.6,81.3,41.4,88.1,70.1,91.7,97.8,0,0.8,1.3,0.05,29706,251,4,389,15,97.87,0.21,0.11,0.08,0.072,1.67,80.96656736,76.26725789,89.96526438,8.7653095,11.96210823,2.643766885,2.919563059,4.242668548,0.38595137,3.151274412,4.081426988,1.370127364,4.197285667,3.446538345,5.634890004
129,12886,13702,26588,6481,3407,8565,5353,2782,24.4,12.8,32.2,20.1,10.5,72,49.48635163,69.86573263,81.65514665,87.38317757,52.2,90.1,27.9,70.6,46.5,91.9,63.5,95.7,78.7,97,99.9,0,0.1,0,0.00,26573,14,0,1,0,99.60,0.05,0.03,0.02,0.000,0.31,93.18181818,91.368884,96.29699603,3.899082569,5.013743815,1.983752125,1.084236864,1.649257834,0.113357264,0.986933556,1.220450797,0.585679199,0.84792883,0.747663551,1.020215379
130,11456,12309,23765,8224,3313,6655,3755,1818,34.6,13.9,28,15.8,7.6,67.9,51.8865077,66.37114951,75.76564581,86.13861386,43.4,89.6,27.9,73.2,37.5,91.6,50.8,96.3,74.6,99.2,98,0,0.1,1.9,0.00,23291,15,0,459,0,98.02,0.21,0.00,0.02,0.000,1.75,91.23986735,88.08888889,96.41987336,4.697862933,6.637037037,1.509985387,1.823876197,2.844444444,0.146127618,1.722549742,1.911111111,1.412566975,0.515843773,0.518518519,0.511446663
131,23789,25077,48866,15133,7289,14827,8283,3334,31,14.9,30.3,17,6.8,60.1,42.73562903,57.82019289,70.17988651,82.81343731,33.8,84.2,16.8,68.9,30,84.9,44.9,90.7,67.6,94.5,99.2,0,0.6,0.1,0.11,48473,304,0,34,55,96.38,0.31,0.04,0.13,0.023,3.11,81.66608877,77.99450365,88.38464369,8.911234397,10.91225953,5.249601374,2.392510402,3.384945372,0.576474917,2.232142857,2.848716402,1.103888139,4.798023578,4.859575039,4.68539188
